1,Casing,Cast iron,,,,GE-2M
2,Casing cover,Cast iron,,,,GE-2M
3,Impeller,Cast iron or Bronze or Aluminum bronze,,,,GE-2M
4,Shaft,Stainless 403 (GEN:SUS316),,,,GE-2M
5,Deflector,Rubber,,,,GE-2M
6,Gland,Bronze,,,,GE-2M
7,Lantern ring,Bronze,,,,GE-2M
8,Mechanical seal,,,,,GE-2M
9,Gland packing,,,,,GE-2M
10,O-ring,Rubber,,,,GE-2M
11,Shaft coupling body,Cast iron,,,,GE-2M
12,Ball bearing,,,,,GE-2M
13,Bearing box,Cast iron,,,,GE-2M
14,Bearing cover,Cast iron,,,,GE-2M
15,Cap point set screw,Stainless 304,,,,GE-2M
16,Stage bolt,Brass,,,,GE-2M
17,Nut,Stainless 304,,,,GE-2M
18,Nut,Brass,,,,GE-2M
19,Plane washer,Stainless 304,,,,GE-2M
20,Wave washer,Stainless 304,,,,GE-2M
21,Key,Stainless 403,,,,GE-2M
22,Key,Carbon steel,,,,GE-2M
23,Mechanical seal cover,Bronze (GEN: Stainless cast steel 304),,,,GE-2M
24,Support,Cold rolled Steel,,,,GE-2M
25,Stopper ring,Stainless 316,,,,GE-2M
26,Male and female elbow,FCMB28,,,,GE-2M
1,Motor,,,,,GSP
2,Casing,Resin,,,,GSP
3,Casing cover,Cast iron 150,,,,GSP
4,Impeller,Resin (PA6、PPS),,,,GSP
5,Deflector,Rubber,,,,GSP
6,Guide vane,Resin (PA6),,,,GSP
7,Square flange with valve seat,Resin (PPE),,,,GSP
8,Nipple,Resin (PPE),,,,GSP
9,Plug,Resin (PC),,,,GSP
10,Cap,Resin (PP),,,,GSP
11,Mechanical seal,,,,,GSP
12,O-ring,Rubber,,,,GSP
13,Ring packing,Rubber,,,,GSP
14,Packing,Rubber,,,,GSP
15,Packing,Rubber,,,,GSP
16,Square packing with valve body,Rubber,,,,GSP
17,Bolt,Stainless 304,,,,GSP
18,Stage bolt,Stainless 316,,,,GSP
19,Hexagon cap nut,Stainless 316,,,,GSP
20,Plane washer,Stainless 316,,,,GSP
